,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,Page,,,,,,,,
,,Appeteasers,,,,,,,,
,,,,Item,,,,Price,,ERP Code
,,,,Number,Description,,,1,,
,,,,1,3 Chicken Wings,,,23,,
,,,,2,Hummus w Peri Peri Drizle,,,18,,
,,,,3,Red Pepper Dip,,,15,,
,,,,4,Spicy Mixed Olives,,,15,,
,,,,5,Chkn Liver & Portuguese R,,,22,,
,,,,6,Lentil Soup,,,15,,
,,,,7,Appeteaser Platter,,,49,,
,,,,8,All Together Now,,,39,,
,,,,9,Chicken Soup,,,15,,
,,,,10,Garlic Bread,,,19,,
,,,,11,Lentil Soup Pr,,,10,,
,,,,12,Chicken Soup Pr,,,10,,
,,,,13,PERi Soup,,,15,,
,,,,14,Hummus w/ Liver,,,32,,
,,,,15,Hummus w/ Pulled Chk,,,32,,
,,,,16,PERi-PERi Soup,,,17,,
,,,,17,3 Chicken Wings,,,25,,
,,,,18,Hummus w/ PERi Drizzle,,,19,,
,,,,19,Hummus w/ Pulled Chk,,,35,,
,,,,20,Festa Fries,,,25,,
,,Page,,,,,,,,
,,On Peri Chicken,,,,,,,,
,,,,Item,,,,Price,,ERP Code
,,,,Number,Description,,,1,,
,,,,31,1/4 Chicken,,,24,,
,,,,32,1/4 Chicken 2 Sides,,,42,,
,,,,33,1/4 Chicken Combo 1,,,37,,
,,,,34,1/4 Chicken Combo 2,,,45,,
,,,,35,1/2 Chicken,,,41,,
,,,,36,1/2 Chicken 2 Sides,,,59,,
,,,,37,1/2 Chicken Combo 1,,,54,,
,,,,38,1/2 Chicken Combo 2,,,62,,
,,,,39,5 Chicken Wings,,,38,,
,,,,40,5 Wings 2 Sides,,,56,,
,,,,41,5 Wings Combo 1,,,51,,
,,,,42,5 Wings Combo 2,,,59,,
,,,,43,Whole Chicken,,,77,,
,,,,44,Wing Roulette,,,63,,
,,,,45,10 Chicken Wings,,,63,,
,,,,46,1/4 Chicken 1 Side,,,32,,
,,,,47,1/2 Chicken 1 Side,,,49,,
,,,,48,5 Wings 1 Side,,,46,,
,,,,49,1/4 Chicken,,,27,,
,,,,50,1/2 Chicken,,,47,,
,,,,51,5 Chicken Wings,,,42,,
,,,,52,1/4 Chicken 1 Side,,,35,,
,,,,53,1/2 Chicken 1 Side,,,52,,
,Page:,,1,,,,,,,ERP Code
,,,54,5 Chicken Wings 1 Side,49,,,,,
,,,55,10 Chicken Wings,67,,,,,
,,,56,Whole Chicken,82,,,,,
,,,59,1/4 Chk+Fino Salad+Side,39,,,,,
,,,60,1/2 Chk+Fino Salad+Side,59,,,,,
,Page,,,,,,,,,
,Off Peri Chicken,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,,ERP Code
,,,61,Chkn Butterfly,35,,,,,
,,,62,Chkn Butterfly 2 Sides,53,,,,,
,,,63,Chkn Butterfly Combo 1,48,,,,,
,,,64,Chkn Butterfly Combo 2,56,,,,,
,,,65,Espetada,46,,,,,
,,,66,Espetada 2 Sides,64,,,,,
,,,67,Espetada Combo 1,59,,,,,
,,,68,Espetada Combo 2,67,,,,,
,,,69,Grilld ChknTenders,14,,,,,
,,,70,Grl Chk Tender Meal,32,,,,,
,,,71,Grl Chk Tender Cmb 1,27,,,,,
,,,72,Grl Chk Tender Cmb 2,35,,,,,
,,,73,Grilld Chkn Cataplana,58,,,,,
,,,74,Chkn Butterfly 1 Side,43,,,,,
,,,75,Grl Chk Tender & Spicy R,25,,,,,
,,,76,Espetada Alteza 2 Sides,69,,,,,
,,,77,Espetada Pimento,72,,,,,
,,,78,Chicken Cataplana,62,,,,,
,,,79,Grl Chk Tender & Spicy R,27,,,,,
,,,80,Chkn Butterfly,39,,,,,
,,,81,Chkn Butterfly 2 Sides,57,,,,,
,,,82,Espetada,52,,,,,
,,,83,Espetada 2 Sides,67,,,,,
,,,84,Espetada Carnival,55,,,,,
,,,85,Esptda Carnival 2 Sides,72,,,,,
,,,86,Esptda Rustica,55,,,,,
,,,87,Esptda Rustica 2 Sides,72,,,,,
,Page,,,,,,,,,
,TRY SOMETHING NEW,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,,ERP Code
,,,91,Espetada Carnival,51,,,,,
,,,92,Esptda Carnival 2 Sides,69,,,,,
,,,93,Esptda Carnival Combo 1,64,,,,,
,,,94,Esptda Carnival Combo 2,72,,,,,
,,,95,Esptda Rustica,51,,,,,
,,,96,Esptda Rustica 2 Sides,69,,,,,
,,,97,Esptda Rustica Combo 1,64,,,,,
,,,98,Esptda Rustica Combo 2,72,,,,,
,,,99,No Bones Platter,110,,,,,
,,,100,Veggie Espetada,46,,,,,
,,,101,Veggie Espetada 2 Sides,64,,,,,
,,,102,Something Exotic,25,,,,,
,,,103,Something Exotic Meal,43,,,,,
,,,104,SpiceCashew Esptd 2 Sides,72,,,,,
,,,105,Mediterrean Esptd 2 Sides,69,,,,,
,,,106,Festa Fries,22,,,,,
,,,107,Cabo Sosatie + Lrg Side,59,,,,,
Page:,,2,,,,,,,,ERP Code
,,,108,Espetada Lima Luso,75,,,,,
,,,109,Cabo Sosatie&Wing Platter,123,,,,,
,,,110,Full Chx & Prego Platter,123,,,,,
,,,111,Chx Arroz & Salad Platter,123,,,,,
,Page,,,,,,,,,
,SHARING PLATTER,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,,ERP Code
,,,121,Full Plattr Whole Chkn,110,,,,,
,,,122,Meal Plattr Whole Chkn,110,,,,,
,,,123,Jumbo Plattr 2 Whole Chkn,220,,,,,
,,,124,Wings Platter,100,,,,,
,,,125,Full Chicken Platter,119,,,,,
,,,126,Wings Platter Meal,99,,,,,
,,,127,Majlis Platter,225,,,,,
,,,128,Nando's Platter,139,,,,,
,,,129,Full Platter,115,,,,,
,,,130,Jumbo Platter,227,,,,,
,,,131,More to Share Platter,159,,,,,
,Page,,,,,,,,,
,BURG PITAS WRAP,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,151,Chkn Wrap,26,,,,,
,,,152,Chkn Wrap 2 Sides,44,,,,,
,,,153,Chkn Wrap Combo 1,39,,,,,
,,,154,Chkn Wrap Combo 2,47,,,,,
,,,155,Chkn Breast Burger,26,,,,,
,,,156,Chkn Breast Burger 2 Side,44,,,,,
,,,157,Chkn Breast Brgr Cmb 1,39,,,,,
,,,158,Chkn Breast Brgr Cmb 2,47,,,,,
,,,159,Chkn Caesar Wrap,27,,,,,
,,,160,Chkn Caesar Wrap 2 Sides,45,,,,,
,,,161,Chkn Caesar Wrap Cmb 1,40,,,,,
,,,162,Chkn Caesar Wrap Cmb 2,48,,,,,
,,,163,Chkn Pita,24,,,,,
,,,164,Chkn Pita 2 Sides,42,,,,,
,,,165,Chkn Pita Cmb 1,37,,,,,
,,,166,Chkn Pita Cmb 2,45,,,,,
,,,167,Nandoca's Choice,37,,,,,
,,,168,Nandoca's Choice 2 Sides,55,,,,,
,,,169,Nandoca's Choice Cmb 1,50,,,,,
,,,170,Nandoca's Choice Cmb 2,58,,,,,
,,,171,Mighty Sandwich,26,,,,,
,,,172,Mighty Sandwich 2 Sides,44,,,,,
,,,173,Chkn Wrap 1 Side,34,,,,,
,,,174,Chkn Breast Burger 1 Side,34,,,,,
,,,175,Chkn Caesar Wrap 1 Side,35,,,,,
,,,176,Chkn Pita 1 Side,32,,,,,
,,,177,Nandoca's Choice 1 Side,45,,,,,
,,,178,Mighty Sandwich 1 Side,34,,,,,
,,,179,Chkn Caesar Wrap,29,,,,,
,,,180,Chkn Caesar Wrap 1 Side,37,,,,,
,Page,,,,,,,,,
,BURG PITAS WRAP +,,,,,,,,,
Page:,,3,,,,,,,,
,,,Item,,Price,,,,,
