DATE,INVOICENO,TOTALAMT,PAYMENTNAME
11/01/2023,473640,22,Credit Card
11/01/2023,473641,32,Talabat Go
11/01/2023,473642,4,Cash
11/01/2023,473643,40,Credit Card
11/01/2023,473644,14,Credit Card
11/01/2023,473645,72,Credit Card
11/01/2023,473646,10,Credit Card
11/01/2023,473647,26,Talabat Go
11/01/2023,473648,6,Credit Card
11/01/2023,473649,6,Credit Card
11/01/2023,473650,29,Talabat Go
11/01/2023,473651,15,Credit Card
11/01/2023,473652,6,Credit Card
11/01/2023,473653,30,Rafeeq
11/01/2023,473654,23,Cash
11/01/2023,473655,68,Snoonu
11/01/2023,473656,13,Credit Card
11/01/2023,473657,4,Credit Card
11/01/2023,473658,19,Credit Card
11/01/2023,473659,9,Cash
11/01/2023,473660,4,Credit Card
11/01/2023,473661,14,Credit Card
11/01/2023,473662,11,Credit Card
11/01/2023,473663,41,Credit Card
11/01/2023,473664,58,Talabat Go
11/01/2023,473665,8,Credit Card
11/01/2023,473666,12,Credit Card
11/01/2023,473667,20,Cash
11/01/2023,473668,4,Credit Card
11/01/2023,473669,17,Cash
11/01/2023,473670,18,Cash
11/01/2023,473671,5,Credit Card
11/01/2023,473672,26,Credit Card
11/01/2023,473673,4,Credit Card
11/01/2023,473674,75,Credit Card
11/01/2023,473675,14,Credit Card
11/01/2023,473676,24,Credit Card
11/01/2023,473677,26,Credit Card
11/01/2023,473678,22,Talabat Go
11/01/2023,473679,9,Cash
11/01/2023,473680,34,Credit Card
11/01/2023,473681,18,Cash
11/01/2023,473682,11,Credit Card
11/01/2023,473683,18,Baladi Express
11/01/2023,473684,19,Credit Card
11/01/2023,473685,8,Cash
11/01/2023,473686,42,Credit Card
11/01/2023,473687,64,Credit Card
11/01/2023,473688,12,Credit Card
11/01/2023,473689,138,Credit Dispute
11/01/2023,473690,51,Credit Card
11/01/2023,473691,4,Credit Card
11/01/2023,473692,24,Cash
11/01/2023,473693,24,Cash
11/01/2023,473694,6,Cash
11/01/2023,473695,7,Credit Card
11/01/2023,473696,10,Baladi Express
11/01/2023,473697,16,Cash
11/01/2023,473698,12,Credit Card
11/01/2023,473699,10,Cash
11/01/2023,473700,4,Cash
11/01/2023,473701,32,Credit Card
11/01/2023,473702,25,Cash
11/01/2023,473703,29,Rafeeq
11/01/2023,473704,22,Credit Card
